family,route,final_url,first_pass_status,evidence_run,first_pass_notes
Transportation,/dispatch-portal/login,/dispatch-portal/login,CERTIFIED,20260802_010650,"Certified after shared auth/session fix + ES/mobile login proof + runtime pass (`iteration_107`, `iteration_108`)."
Transportation,/dispatch-portal,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/hub_v2,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/board,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/command,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/fleet,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/map,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/haul-ledger,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/dispatch-portal/driver-qualification,/dispatch-portal/login,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/dispatch,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/live-operations,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/trucks,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/drivers,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/carriers,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/compliance,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/orientation,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/academy,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/intelligence,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/command-queue,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/reports,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/audit,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/documents,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/inspections,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/rate-schedules,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Transportation,/transportation-operations/fleet,/sign-in,REPAIRED_NOT_CERTIFIED,20260802_010650,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety,/safety,AUDITED_DEFECTS_FOUND,20260802_011447,
Safety,/safety/forms/login,/safety/forms/login,CERTIFIED,20260802_011447,"Certified after shared auth/session fix + governed hero-shell convergence + ES/mobile login proof (`iteration_108`, screenshot 20260802_023255)."
Safety,/safety/forms,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/forms/equipment-issuance/new,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/forms/equipment-training/new,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/cards,/safety/cards,REPAIRED_NOT_CERTIFIED,20260802_011447,Repaired shared route copy in ES and reopened visually; still needs wider-width recertification sweep before closure.
Safety,/safety/inspections/new,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/executive-intelligence,/safety/executive-intelligence,REPAIRED_NOT_CERTIFIED,20260802_011447,Repaired onto governed shell preview without auth noise; route family still needs full executive-content certification.
Safety,/safety/trench-safety,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/trench-safety/assets,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/trench-safety/tabulated-data,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/trench-safety/reports,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/trench-safety/excavations,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/trench-safety/repair-review,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety/trench-safety/field-reports,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/login,/safety-portal/login,CERTIFIED,20260802_011447,"Certified after shared auth/session fix + ES/mobile login proof + runtime pass (`iteration_107`, `iteration_108`)."
Safety,/safety-portal,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/fleet,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/training,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/incidents,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/inspections,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/jha-plans,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Safety,/safety-portal/meetings,/safety-portal/login,REPAIRED_NOT_CERTIFIED,20260802_011447,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Shop,/shop/login,/shop/login,CERTIFIED,20260802_011623,Certified after shared auth/session fix + ES/mobile login proof + shop footer-label bug repair (screenshot 20260802_030300).
Shop,/shop,/shop/login,REPAIRED_NOT_CERTIFIED,20260802_011623,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Shop,/shop/hub_v2,/shop/login,REPAIRED_NOT_CERTIFIED,20260802_011623,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
Shop,/shop/asset-care,/shop/login,REPAIRED_NOT_CERTIFIED,20260802_011623,Shared portal auth/session blocker cleared; runtime reopen/login/refresh/deep-link proof passed in iteration_107. Full page certification still pending.
